19381.497784045125,359,0.05,484697,10504,1196,386,141,57,7,
18881.91924086412,349,0.05,481109,10756,1175,386,149,29,3,
20723.629032258064,351,0.05,468362,12338,1892,689,433,436,394,
19426.545528290408,378,0.05,477226,11088,1405,419,129,37,9,
19047.81506849315,320,0.05,484899,10160,1138,444,153,34,4,
19349.547493936945,360,0.05,468983,10792,1220,453,274,278,351,
20222.589292929293,378,0.05,474300,11531,1398,441,194,192,264,
19235.871567043618,336,0.05,484874,9678,1153,366,128,65,123,
19308.798192771083,361,0.05,488072,10515,1319,390,91,15,3,
19078.7659058776,386,0.05,487228,10313,1188,402,138,34,
19361.467650626768,362,0.05,471970,9485,1207,447,147,26,2,
18298.981135902635,362,0.05,479307,9024,916,343,109,30,1,
20563.690576652603,354,0.05,481493,12686,1451,386,190,53,84,
25089.402458686014,391,0.05,463500,21912,4653,1184,306,34,6,
18947.2008040201,349,0.05,490718,10547,1213,418,157,33,3,
18398.67397425583,354,0.05,477989,9298,1047,347,98,27,2,
23321.959847420196,402,0.05,474295,17970,3056,734,170,43,30,
18971.416549224883,355,0.05,490662,10883,1055,327,81,16,1,
23059.66384863124,378,0.05,485374,16198,2342,573,161,24,2,
20056.287158746207,313,0.05,475108,12224,1408,430,151,67,65,
24525.40427247078,380,0.05,474546,19906,3594,881,224,33,2,
21584.03149606299,339,0.05,473175,13975,1891,574,324,271,329,
18183.595537525354,327,0.05,497102,6461,944,344,115,17,
18756.442966545746,346,0.05,480724,11103,1222,449,146,42,1,
18755.872426322163,375,0.05,479170,9290,1023,361,128,52,52,
18416.45283018868,336,0.05,490131,7630,967,319,87,19,2,
19385.82620104966,366,0.05,483288,10340,1096,386,127,37,1,
19286.924224103182,341,0.05,470721,10688,1647,572,363,416,464,
20507.009685230023,378,0.05,480105,12480,1490,427,138,40,17,
20440.61047331319,372,0.05,474219,11938,1489,453,178,37,22,
18842.516919959475,322,0.05,486524,10137,1109,380,131,20,3,
18347.22888888889,326,0.05,491028,8454,1116,446,134,23,2,
18319.9185999186,351,0.05,493991,7432,959,410,154,43,3,
18065.842147597024,379,0.05,476363,6501,858,342,139,31,87,
18187.54272470778,361,0.05,486704,9108,1072,356,121,29,2,
20134.562108664915,332,0.05,486552,11775,1318,413,138,27,3,
19085.449565393166,367,0.05,469414,10214,1284,467,163,65,71,
19293.075372833537,337,0.05,490059,10300,1075,300,129,22,3,
19545.795729250603,350,0.05,479403,11222,1179,424,156,105,154,
19470.695493300853,368,0.05,488602,10648,1117,347,112,26,5,
19905.82406471183,381,0.05,489560,9560,1098,425,164,30,5,
18527.148058252427,314,0.05,490055,8501,848,308,118,22,1,
18267.34652470872,338,0.05,493762,9501,924,296,115,29,4,
19196.06127003449,342,0.05,482421,10295,1078,321,129,19,2,
18663.770644054108,371,0.05,481181,8785,968,294,75,25,
20270.16081108211,386,0.05,474538,11843,1372,433,128,25,2,
18627.589961546244,332,0.05,487381,9464,1081,331,114,40,4,
21437.912629231705,349,0.05,478394,13690,1816,568,226,218,204,
21936.920281124498,389,0.05,483313,14544,1834,463,160,40,3,
19878.13309207881,345,0.05,492162,12225,1222,467,134,41,4,
